Time,Colour_p4_01,Colour_p4_02,Colour_p4_03,Colour_p4_04
6.390,4.000,2.000,4.000,4.000,
6.400,4.000,2.000,4.000,4.000,
6.410,4.000,2.000,4.000,4.000,
6.420,4.000,2.000,4.000,4.000,
6.430,4.000,2.000,4.000,4.000,
6.440,4.000,2.000,4.000,4.000,
6.450,4.000,2.000,4.000,4.000,
6.460,4.000,2.000,4.000,4.000,
6.470,4.000,2.000,4.000,4.000,
6.480,4.000,2.000,4.000,4.000,
6.490,4.000,2.000,4.000,5.000,
6.500,4.000,2.000,4.000,5.000,
6.510,4.000,2.000,4.000,5.000,
6.520,4.000,2.000,4.000,5.000,
6.530,4.000,2.000,4.000,5.000,
6.540,4.000,2.000,4.000,5.000,
